cuce,entidad,objeto_de_contratacion,subasta,fecha_Presentación,archivos
24-1101-00-1512422-1-1,Gobierno Autonomo Municipal De Sucre,Adquisicion De Computadora De Escritorio Para Compras Menores Y Direccion De Contrataciones,No,24/12/2024,
24-1232-00-1512393-1-1,Gobierno Autonomo Municipal De Copacabana,Mejoramiento Y Refaccion De Paseo Turistico - Copacabana( Adquisicion De Cemento),No,24/12/2024,
24-1269-00-1512277-1-1,Gobierno Autonomo Municipal De General Juan Jose Perez (Charazani),Const. Muro De Contención Santuario Kalla Kallan,No,24/12/2024,
24-0417-01-1512339-1-1,Caja Nacional De Salud (Regional Tarija),Adquisicion Recurrente De Queso 1 Item Gestion 2025 Primer Trimestre Para El Servicio De Economato Y Nutricion,No,23/12/2024,
24-0417-01-1512337-1-1,Caja Nacional De Salud (Regional Tarija),Adquisicion Recurrente De Productos Secos 12 Items Gestion 2025 Primer Trimestre Para El Servicio De Economato Y Nutricion,No,23/12/2024,
24-0417-01-1512333-1-1,Caja Nacional De Salud (Regional Tarija),Adquisicion Recurrente De Aceite Comestible 1 Item Gestion 2025 Primer Trimestre Para El Servicio De Economato Y Nutricion,No,23/12/2024,
24-0417-01-1512328-1-1,Caja Nacional De Salud (Regional Tarija),Adquisicion Recurrente De Productos Lacteos 4 Items Gestion 2025 Primer Trimestre Para El Servicio De Economato Y Nutricion,No,23/12/2024,
24-0417-01-1512323-1-1,Caja Nacional De Salud (Regional Tarija),Adquisicion Recurrente De Carne De Pollo 2 Items Gestion 2025 Primer Trimestre Para El Servicio De Economato Y Nutricion,No,23/12/2024,
24-0417-01-1512319-1-1,Caja Nacional De Salud (Regional Tarija),.Adquisicion Recurrente De Carne De Res 2 Items Gestion 2025 Primer Trimestre Para El Servicio De Economato Y Nutricion,No,24/12/2024,
24-0903-17-1512265-1-1,Hospital Del Niño Manuel Ascencio Villarroel,"Compra Recurrente De Viveres Frescos Y Perecederos Para La Unidad De Nutrición Y Dietetica Del Hospital Del Niño Manuel Ascencio Villarroel, Gestion 2025.",Si,24/12/2024,
24-1704-00-1512308-1-1,Gobierno Autonomo Municipal De La Guardia,Adquisicion De Sillas De Espera Individual Para La Sub Alcaldía Del Distrito 4 Del Gamlg.,No,23/12/2024,
24-1526-00-1512271-1-1,Gobierno Autonomo Municipal De Sacaca (Villa De Sacaca),"Mantenimiento Microriegos Municipio Sacaca, (Compra De Tuberias Y Cemento Area Produccion)",No,23/12/2024,
24-1519-00-1511952-1-1,Gobierno Autonomo Municipal De Tupiza,Adquisicion Medicamentos (7) Hospital Municipal Eduardo Eguia - Da3 - Gamt,Si,24/12/2024,
24-1101-00-1512157-1-1,Gobierno Autonomo Municipal De Sucre,Adquisición De Computador De Escritorio Para La Jefatura De Tecnologías De La Información Dependiente De La Dirección Administrativa-Secretaria Municipal Administrativa Financiera,No,24/12/2024,
24-1101-00-1512155-1-1,Gobierno Autonomo Municipal De Sucre,Adquisición De Computador Portátil Para La Jefatura De Tecnologías De La Información Dependiente De La Dirección Administrativa - Secretaria Municipal Administrativa Financiera,No,24/12/2024,
24-1322-00-1512144-1-1,Gobierno Autonomo Municipal De Arbieto,Compra De Malla De Gaviones Para La Const. Sistema De Agua Potable Otb San Francisco D-4 (Obra De Proteccion Tanque De Agua De 50 M3),No,24/12/2024,
24-0902-34-1512122-1-1,Desarrallo De La Salud - Hospital El Alto Sur,"Adquisicion Ropa Quirurgica Textil Cirugia Robotica, Traumatologia Y Batas Quirurgicas Para El Heas",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0902-34-1512120-1-1,Desarrallo De La Salud - Hospital El Alto Sur,"Adquisicion Ropa Quirurgica Textil Cirugia Mayor, Menor Y Cesarea Para El Heas",No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0902-34-1512110-1-1,Desarrallo De La Salud - Hospital El Alto Sur,"Adquisicion Ropa Quirurgica Textil Cirugia Recien Nacido, Anestesia Conductiva, Legrado Y Campos Para El Heas",No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1211-00-1512109-1-1,Gobierno Autonomo Municipal De Sicasica (Villa Aroma),Adquisición De Equipamiento Médico (Caja Reveladora Y Rayos X) Para El Servicio De Odontología Centro De Salud Jaruma,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1339-00-1512111-1-1,Gobierno Autonomo Municipal De Tacopaya,Compra De Compútadora De Escritorio Para Los Centros De Salud Del Municipio De Tacopaya,No,23/12/2024,
24-1530-00-1512107-1-1,Gobierno Autonomo Municipal De Uyuni,Adquisición De Computadoras De Escritorio Para La Unidad De Presupuesto Y Tesoreria,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1208-00-1512106-1-1,Gobierno Autonomo Municipal De Tiahuanacu,Ampl. De Sistema De Agua Potable Com. Pillapi (Const. Cerco Perimetral Para Caseta De Bombeo Y Tanque - Zona Centro “Adquisición De Materiales De Construcción”),No,23/12/2024,
24-0902-34-1512103-1-1,Desarrallo De La Salud - Hospital El Alto Sur,Adquisición De Cartuchos De Electrolitos Smart 30 Pro E4 Para Pacientes Del Heas,No,24/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1305-00-1512099-1-1,Gobierno Autonomo Municipal De Vinto,“Adquisicion De Una Motocicleta Para La Direccion De Residuos Solidos Y Medio Ambiente”,No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0902-34-1512091-1-1,Desarrallo De La Salud - Hospital El Alto Sur,Adquisición De Reactivos Para Análisis Clínico Para Pacientes Del Heas,No,24/12/2024,"Declaración Jurada del Proveedor
Declaración Jurada del Proveedor
Oferta del Proveedor Identificado
Oferta del Proveedor Identificado"
24-1202-00-1508013-1-1,Gobierno Autonomo Municipal De Palca,"Adquisición De Mobiliario, Equipo Médico Y Otros Para Centro De Salud Cayimbaya",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1248-00-1512074-1-1,Gobierno Autonomo Municipal De Carabuco,Adquisicion De Medicamentos E Insumos Medicos Pra Centro De Salud Con Internacion Carabuco,Si,24/12/2024,
